update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,82691.6,1,325,0,2.475
9,0,1,22.27,4800.4,0,326,0,2.465
9,0,2,20.19,2804971.4,342,3,0,2.449
9,0,3,15.08,2673535.0,332,0,0,2.427
9,0,4,12.66,33062.8,0,336,0,2.336
9,0,5,12.32,2740980.0,350,2,0,2.464
9,0,6,23.59,23563.6,0,316,0,2.45
9,0,7,29.41,2468956.0,304,0,0,2.488
9,0,8,26.89,715569.5,37,291,1,2.54
9,0,9,11.95,2707116.5,334,8,0,2.455
9,0,10,25.73,10861.4,0,335,0,2.398
9,0,11,9.19,2692092.4,343,10,0,2.48
9,0,12,11.11,2863702.0,351,2,0,2.474
9,0,13,15.51,425124.8,18,293,0,2.556
9,0,14,23.28,2667761.0,327,2,0,2.522
9,0,15,21.85,2633164.0,324,8,0,2.473
9,0,16,21.6,575.1,0,320,1,2.484
9,0,17,23.82,2372953.6,295,27,1,2.499
9,0,18,27.48,2561207.3,321,15,0,2.48
9,0,19,5.6,16145.1,0,346,0,2.394
9,0,20,13.77,2525706.0,318,0,0,2.447
9,0,21,17.56,2782528.4,354,8,0,2.46
9,0,22,22.78,31780.5,0,318,0,2.425
9,0,23,12.17,17742.3,0,299,0,2.4
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,59157.3,1,287,0,3.394
9,1,1,17.29,2432817.3,303,5,0,3.504
9,1,2,19.04,494139.1,29,259,0,3.548
9,1,3,16.81,2391703.0,303,2,0,3.489
9,1,4,25.54,1615.7,0,293,0,3.188
9,1,5,18.36,2362749.0,286,9,0,3.506
9,1,6,8.63,1889723.7,213,68,0,3.525
9,1,7,5.33,2233046.4,269,13,2,3.499
9,1,8,8.28,2352148.0,296,0,0,3.514
9,1,9,16.95,63848.0,2,276,0,3.437
9,1,10,5.22,2398694.0,298,0,0,3.548
9,1,11,27.19,1947003.4,242,7,0,3.531
9,1,12,16.04,5583.9,0,283,0,3.217
9,1,13,25.94,2192869.1,277,15,0,3.483
9,1,14,7.56,2090777.4,263,4,0,3.532
9,1,15,10.93,2088448.7,256,42,0,3.477
