update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
0,2957.7762260981217,62.34574490245879,0.5695500633713562,0.42759822560202787,0.0,0,14.873825091854403,0.8609614436995852,0.7120787709627459,6312,20,17.715005084939897,3.7754694704891945,2.9223922114047287,7.0,23.195,0.0,0.31895783449532045
1,3357.4664071839857,61.31214650936251,0.5905590893873451,0.4055908938734516,0.00033478406427854036,0,9.720743688887904,0.8515980339584249,0.7345367562156209,5974,22,19.512842939025468,3.811844982124637,3.128968253968254,7.0,22.067,0.0,0.2685051829175451
2,-431.2902561908229,59.034357467843165,0.4339468302658487,0.5620995228357192,0.0,0,11.581629663825318,0.8691644063531355,0.6475305917006774,7335,28,18.00649250535391,3.883250137323723,3.378573672635878,8.0,32.937,0.0,0.26167139450012955
3,-1832.108030341041,70.92329392215349,0.39989506820566634,0.5950682056663169,0.0001049317943336831,0,10.676570800300581,0.8871347334005034,0.6533582028081423,9530,30,18.250114482349236,3.8987275114630333,4.2154290212542636,9.0,46.373,0.0,0.31651172505068204
4,4113.611115327499,55.831689288077634,0.6526444762099245,0.34347559730447214,0.0004084133142740453,0,11.501810810808994,0.8656278050328112,0.8398368167717023,4897,18,17.78964979052596,3.6752768758311367,3.247183979974969,8.0,16.628,0.0,0.27080125799238275
5,3449.082985627741,54.2815506131349,0.6178600160901045,0.3793242156074014,0.00040225261464199515,0,7.613297279296297,0.854786094960664,0.7845401401120983,4972,20,17.558604538562438,3.759385570798732,3.2249348958333335,8.0,17.899,0.0,0.2458112398951994
6,3383.198448514939,51.68437974330111,0.6186729051467461,0.37643555933645256,0.0002126754572522331,0,7.2598698616559965,0.8641048587292969,0.8034608486102431,4702,16,19.43081881436943,3.684592375829175,3.352698521828807,8.0,17.058,0.0,0.291191162189825
7,-3459.9045435140015,46.93649058468942,0.332654999321666,0.6624609957943292,0.000135666802333469,0,4.0457628895950934,0.8601107157007138,0.609738679153704,7371,21,16.846426299217686,3.8831248800508913,4.955546492659054,10.0,38.788,0.0002712600027126,0.34948723064060516
8,1812.5588487553787,51.75670029714651,0.5272051996285979,0.4668523676880223,0.00018570102135561745,0,5.867230197467456,0.8774034626852028,0.7172717134908977,5385,30,18.702445825282535,3.856437104335427,3.7657625924621345,8.0,22.782,0.0,0.17935573047378758
9,5764.232671181875,70.51794414702962,0.6852358168147642,0.3116883116883117,0.0,0,10.784624238231222,0.8777246862436417,0.8799538936219986,5852,25,18.924356563055127,3.7883421995034348,3.186783042394015,8.0,19.119,0.0,0.23192837614420586
10,3264.161582959706,53.415180785417675,0.6117223444688937,0.3840768153630726,0.0010002000400080016,0,8.563271349834555,0.8793165101362589,0.7536454041303786,4999,23,18.634617545339307,3.7482228654333793,3.1739699149771092,7.0,17.792,0.0,0.21960214156690783
11,411.3772588483977,60.326303664636,0.46642866950432516,0.530275985170946,0.0001373060551970342,0,9.75921345197537,0.8729926237419051,0.6588695422781723,7283,26,16.852879545205568,3.8526610037172824,4.022667059169856,9.0,33.237,0.0,0.2807737540146128
12,-2256.841291633483,61.0961224689288,0.3904468764249886,0.6040811673506612,0.0003419972640218878,0,9.367625873232791,0.8729203977204093,0.6016595304862531,8772,23,15.882014715800517,3.8574123960603397,4.501313868613138,9.0,43.278,0.00022794620469569182,0.3834447805357021
13,2304.1708727632863,36.495976878631154,0.6235224586288416,0.3723404255319149,0.000591016548463357,0,8.533776922642229,0.8973702825941976,0.7333419396311172,3384,17,15.988971398990916,3.518738474352606,2.6279620853080567,6.0,11.202,0.0,0.20062174239132147
14,-4515.70079490406,69.29045586671248,0.3439686537923314,0.6511801474018099,0.000279876854184159,0,8.36128696652357,0.8625288957379065,0.6344243358384292,10719,28,17.555402811106774,3.8896787584909345,5.006509357200977,10.0,55.745,9.328358208955224e-05,0.3815300560320928
15,305.2279768246236,57.506112904598105,0.45726744186046514,0.5385174418604651,0.00014534883720930232,0,7.0826369244675895,0.8726545051944424,0.6711003589231578,6880,25,18.70882588222451,3.8508048467938725,4.128099173553719,9.0,31.743,0.0,0.2672118294673258
16,753.0230159610068,51.25965332719038,0.4798497267759563,0.5155396174863388,0.00034153005464480874,0,9.76814458261772,0.8885981687913638,0.6668713720278239,5856,20,18.489397159253855,3.8103885866829366,3.378291814946619,8.0,24.719,0.0,0.29178589969591623
17,1154.9904470805293,51.01974505875241,0.5083147608434768,0.4875707183267615,0.00017143836790673754,0,6.455127564942932,0.8847461437575953,0.6160716204176127,5833,30,16.795356031683596,3.8465220282441246,3.3237774030354132,7.0,24.37,0.0,0.19373247054420165
18,-7309.277394999583,67.42599309028267,0.30141695313155026,0.6921271065649367,0.00041921690282552195,0,7.405811373417227,0.8766164210665836,0.5691090321043234,11927,31,18.697296104003385,3.9252025458800626,5.184979137691238,10.0,64.514,8.383635144198524e-05,0.389770844860683
19,1980.097088768166,53.571962805336206,0.5390269513475674,0.45572278613930695,0.0010500525026251313,0,6.015220385041858,0.8715907203317919,0.6940340985154055,5714,26,19.07862141010402,3.849921327099341,3.461038961038961,8.0,23.18,0.0,0.22185035561672226
20,2023.2306398421335,28.828113631489753,0.6560121765601218,0.341324200913242,0.000380517503805175,0,5.556231953563458,0.8732622630648303,0.7233541102924277,2628,16,17.736849977957775,3.3290757678262963,2.2296983758700697,4.0,7.841,0.0,0.16271008844977167
21,1613.4061040588974,40.67416832617293,0.5515137291715559,0.4437925369631542,0.0002346866932644919,0,6.851570976010995,0.8686562688162438,0.6647005538092986,4261,18,17.016397906251534,3.702643151915865,2.605531914893617,6.0,15.68,0.0,0.23707701889800925
22,2803.6704422259754,46.821428261750455,0.6103275705186533,0.3867151956323931,0.0,0,6.714028524952628,0.8567213891120864,0.7324898519673093,4396,19,17.526696645635205,3.7407190610523067,2.863958255683936,6.0,15.43,0.0,0.22854152203190536
23,1900.8241517561912,42.52981828685318,0.557064569930903,0.4398379795091732,0.0007147962830593281,0,4.569258001936465,0.8579142877243167,0.7516533292536318,4197,20,16.864824558905447,3.772453601337854,3.4409751924721985,8.0,16.507,0.0,0.2065087261850146
24,2152.9298014968895,40.28307820053644,0.589041095890411,0.40759886275523394,0.0002584647195657793,0,7.491668252173014,0.865829009881528,0.7392973658625632,3869,19,15.070462690878696,3.6992881341054287,2.8617814831066255,7.0,13.935,0.0,0.20674595972010154
25,848.190110107695,68.64640933215026,0.47461423593827773,0.5207814833250374,0.00012444001991040318,0,7.513859638371402,0.8487790354227703,0.6728875471632763,8036,30,17.93104018226611,3.902662033071097,3.9318300996329314,9.0,36.222,0.0,0.2652693231090447
26,-3819.1354181249117,70.43695999613534,0.35025675806607887,0.6440267415948067,0.00019377967251235347,0,7.952491230782175,0.8568333340921037,0.6953751049568848,10321,29,17.201959734221067,3.930173003015549,5.1408022130013835,10.0,54.212,9.688044952528579e-05,0.35279066687351845
27,2925.602730882936,61.86550442973832,0.5627198124267292,0.4330932842070005,0.0003349522693016245,0,11.631556801406763,0.8608898338526964,0.7692520045777916,5971,31,19.079746347127532,3.865982206038296,3.180654761904762,8.0,22.615,0.0,0.19162537136899932
28,3074.6611620167328,62.820867431251344,0.5682585624698504,0.42804309374497507,0.0,0,10.80449537443644,0.8548446862154542,0.7448881692873501,6219,17,20.592303205036856,3.718874738315723,3.1032823995472554,8.0,23.549,0.0,0.3699348426338093
29,-440.7641828869504,35.6523484425203,0.42125714285714283,0.5739428571428571,0.0,0,7.140877081465895,0.8588109184583421,0.6321830487109996,4375,20,16.423724014886982,3.774827769827378,2.948453608247423,7.0,19.371,0.0,0.213015866541056
30,2562.338797464572,82.00737020981987,0.5191387559808612,0.47732968785600366,0.0,0,13.790967348021894,0.8612095385868419,0.7228817398399239,8778,24,16.0672690823722,3.861333261898912,3.1604125521176214,9.0,34.768,0.0,0.36471971188141283
31,3344.0313040254405,64.36041888018408,0.579349593495935,0.4170731707317073,0.0003252032520325203,0,9.918133597468442,0.8553631497497315,0.7636176379049596,6150,31,17.76099282466835,3.840790546358949,3.0412573673870336,7.0,22.654,0.0,0.19734166544546727
32,3243.9197336032844,79.60422339374719,0.538027477919529,0.4570657507360157,0.00036800785083415113,0,11.511210795737131,0.8477396258647447,0.7930049101004594,8152,23,17.4127624529025,3.8426391509464755,3.8109895120839035,9.0,33.489,0.00012265423770391266,0.35648977876110566
33,268.23561378206034,78.3695850107603,0.4536761580960476,0.5403739906502337,0.00021249468763280918,0,11.54487604000211,0.8641124885812752,0.6703308225655371,9412,32,19.3743872721152,3.897005907623726,3.7526932084309133,9.0,42.025,0.0,0.29760832359433714
34,3816.609946310763,79.92372201939658,0.5665289773438478,0.4298410314182,0.00012517211165352359,0,11.703107710996639,0.8612596759884352,0.7431452218182067,7989,28,17.74564737503072,3.8612100625567862,3.1895713654441007,8.0,30.309,0.0,0.2831819018152418
35,5852.897444952669,58.64653059445544,0.7726264418811003,0.22426796805678792,0.00044365572315882877,0,11.233670254950143,0.8570938554462721,0.9110128462339984,4508,20,17.228493217957258,3.447742845946734,3.0089003732414583,7.0,12.158,0.0,0.2304297029036898
36,2955.0693450706576,64.4372705216942,0.5604938271604938,0.43487654320987656,0.00015432098765432098,0,9.754237934319887,0.8552691935316195,0.7371525177746588,6480,21,17.34670271922772,3.777897285110658,3.33204845814978,8.0,25.301,0.00015429717636167257,0.30977748219655676
37,3687.795656428483,58.823706207053235,0.6104044047845073,0.38674767419783557,0.0,0,9.331887940473244,0.8413234681598644,0.8505910237286158,5267,28,17.791666959891494,3.8144392417904487,3.452566096423017,8.0,19.153,0.0,0.1894167806050656
38,998.3627227016169,87.44363655460877,0.47073242474752425,0.5246592803216001,0.00019609765663300324,0,12.45282013599259,0.8580946452123699,0.6956070383088478,10199,32,16.454490899420104,3.9013224939734163,3.603624244948969,9.0,44.497,9.80392156862745e-05,0.32110913612052067
39,3272.0062525012268,45.63931008185752,0.6465408805031446,0.35144654088050314,0.0007547169811320754,0,12.215946670659099,0.8599074162588074,0.8412840409926068,3975,19,18.408725094677266,3.5589757998591747,3.419066147859922,8.0,14.346,0.0,0.2111653698342555
40,-443.61837727788486,66.60823142353773,0.43831864729697545,0.5571564658251965,0.00011907597046915932,0,11.920551465486088,0.8618864925788028,0.6263726287337713,8398,22,17.1763178608151,3.8030656023635263,3.39174137462646,9.0,37.119,0.0,0.3810705629954476
41,4150.176518110383,84.34511508845219,0.5751792736525561,0.4200786490862827,0.0002313208420078649,0,13.845766741451214,0.8535481527024128,0.7047296041382447,8646,25,17.474054565585966,3.8069266820533367,2.9959782827267243,8.0,31.665,0.0,0.35267649436789233
42,2777.3643026512923,57.72547602241833,0.5666607805050327,0.42715874977926893,0.0005297545470598623,0,8.948170436100572,0.8654633278522029,0.7419891204777224,5663,28,18.231213077946308,3.799242236878464,3.1445933312558427,8.0,21.371,0.0,0.2034974325375088
43,3773.3901206177793,52.609495502963846,0.6468668407310705,0.34965187119234115,0.0002175805047867711,0,7.272163715875663,0.8484143699814256,0.8275343667729181,4596,22,16.938731226328805,3.6632806116285717,3.521022536158762,8.0,16.488,0.0,0.20408077790206813
44,3918.292059879225,70.40124429943484,0.5951126719344454,0.4010828211881768,0.0,0,12.248946967268745,0.8637722673946902,0.734838504804159,6834,30,17.26543227407696,3.809952363387106,2.8706663388246865,8.0,24.246,0.0,0.2252884485618944
45,4349.186290642156,54.44731388684851,0.6847585290208241,0.3114754098360656,0.00022153300841825432,0,12.658704009046657,0.8587531305290951,0.8324248433846891,4514,25,17.38069449637013,3.586550428650728,2.6609511484956325,6.0,13.421,0.0,0.17840315678336338
46,890.1589913840106,78.85804787583203,0.48019591141396933,0.5146933560477002,0.00010647359454855196,0,13.0643788232064,0.8414273581442123,0.6277862810778541,9392,32,18.39311887192858,3.856165183929055,3.189356984478936,8.0,39.06,0.0,0.292310852806547
47,4853.5212237263095,63.281055133976935,0.6643618015324239,0.3322743412446272,0.00018688095683049897,0,8.217408180560103,0.8552900732602957,0.8769800483159634,5351,21,15.34127912270861,3.6751630160461506,3.50070323488045,8.0,18.826,0.0,0.25352110692686736
48,1320.7414526228013,76.2900412505476,0.48599100657212035,0.5092816787732042,0.00011530035743110804,0,11.78139660824036,0.8405452769285349,0.6618303474106589,8673,32,15.496539874975825,3.869883306919248,3.4194543297746143,8.0,36.803,0.0,0.2694607978726448
49,3751.9039939971235,60.63817224915878,0.6101933216168717,0.3859402460456942,0.0,0,10.822596952822908,0.8616020495513597,0.8029749938560348,5690,18,17.974376919025122,3.6151861673774115,3.255184331797235,9.0,20.323,0.0,0.31364469653633187
50,59.246457819329045,90.77086671840496,0.4503217843603985,0.543859649122807,0.00017632019747862118,0,13.013001528457037,0.8403337136154098,0.6667243532155364,11343,29,17.416868185057357,3.888411099828082,3.969263899765074,9.0,51.414,8.815232722143864e-05,0.387641374834031
