update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,227358.9,0,109,11,4.0
9,0,1,22.27,9067.0,0,95,28,4.0
9,0,2,20.19,2428806.0,305,0,0,4.0
9,0,3,15.08,2862738.0,369,0,0,4.0
9,0,4,12.66,91186.6,0,86,37,4.0
9,0,5,12.32,3163010.0,383,0,0,4.0
9,0,6,23.59,62811.2,0,106,16,4.0
9,0,7,29.41,2838599.0,352,0,0,4.0
9,0,8,26.89,592425.1,27,81,18,4.0
9,0,9,11.95,2319554.0,282,1,0,4.0
9,0,10,25.73,60210.4,0,92,39,4.0
9,0,11,9.19,2356003.0,304,0,0,4.0
9,0,12,11.11,2631400.4,330,0,0,4.0
9,0,13,15.51,406393.9,7,95,25,4.0
9,0,14,23.28,3235208.0,413,0,0,4.0
9,0,15,21.85,2205154.5,273,8,0,4.0
9,0,16,21.6,1169.1,0,85,43,4.0
9,0,17,23.82,1855777.8,217,14,0,4.0
9,0,18,27.48,2002627.6,240,9,0,4.0
9,0,19,5.6,44886.7,0,91,32,4.0
9,0,20,13.77,2635778.0,332,0,0,4.0
9,0,21,17.56,2346153.0,291,0,0,4.0
9,0,22,22.78,112381.6,0,89,37,4.0
9,0,23,12.17,88451.6,0,109,14,4.0
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,258479.7,3,91,31,4.0
9,1,1,17.29,2413602.0,302,0,0,4.0
9,1,2,19.04,820201.4,69,68,2,3.997
9,1,3,16.81,2722059.0,348,0,0,4.0
9,1,4,25.54,20000.4,0,73,63,3.997
9,1,5,18.36,2444353.0,305,0,0,4.0
9,1,6,8.63,1626076.2,186,23,0,4.0
9,1,7,5.33,2222642.0,276,0,0,3.998
9,1,8,8.28,2431923.4,308,0,0,4.0
9,1,9,16.95,248808.0,3,88,34,3.997
9,1,10,5.22,2766925.0,353,0,0,4.0
9,1,11,27.19,2040562.2,242,14,0,4.0
9,1,12,16.04,19173.5,0,88,47,4.0
9,1,13,25.94,1996728.6,251,6,0,4.0
9,1,14,7.56,2321183.6,284,8,0,4.0
9,1,15,10.93,1582641.0,181,25,0,4.0
9,1,16,21.21,2534259.1,318,1,0,4.0
9,1,17,10.16,2237315.1,280,2,0,4.0
9,1,18,13.45,1338597.9,144,37,1,3.999
9,1,19,28.59,814376.2,49,87,12,3.999
9,1,20,28.46,2297449.5,281,4,0,4.0
9,1,21,7.19,1524579.8,182,24,0,3.999
9,1,22,21.02,2296702.4,285,3,0,3.999
9,1,23,22.73,1209862.0,119,50,5,3.999
9,1,24,27.19,60875.4,0,70,59,4.0
9,1,25,13.95,497540.4,25,87,13,3.999
9,1,26,20.95,2266441.1,291,2,0,4.0
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,9145.0,0,91,38,3.999
9,2,1,7.77,1690277.2,208,15,0,3.998
9,2,2,20.56,520766.7,24,84,18,3.999
9,2,3,13.62,2240209.6,281,4,0,4.0
9,2,4,16.07,2373836.0,301,0,0,4.0
9,2,5,14.57,5882.1,0,74,64,3.999
9,2,6,13.01,2972228.0,373,0,0,4.0
9,2,7,22.07,1272897.7,131,44,0,4.0
9,2,8,12.5,1155727.7,116,51,1,4.0
9,2,9,25.95,478810.8,18,93,17,3.999
9,2,10,28.65,1715830.5,190,27,0,4.0
9,2,11,13.51,505403.5,24,84,16,4.0
9,2,12,8.75,2820811.0,350,0,0,3.998
9,2,13,16.81,1472039.2,164,35,0,3.999
9,2,14,15.53,1977360.1,230,12,0,4.0
9,2,15,24.33,1243708.4,128,49,0,4.0
9,2,16,27.2,2385095.0,289,0,0,4.0
9,2,17,22.13,2379171.0,299,0,0,4.0
9,2,18,7.17,2472278.0,307,0,0,4.0
9,2,19,25.2,1721219.1,198,18,0,4.0
