update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
0,3321.096381900532,61.627499089150106,0.5788973384030418,0.3916349809885932,0.026299112801013942,0,13.841201098952913,0.8609614436995852,0.7209709920112897,6312,20,17.715005084939897,3.8313479809472994,3.176792556102901,8.0,23.154,0.0,0.31895783449532045
1,3656.9975080475497,60.277139746993,0.597254770672916,0.3485102109139605,0.05088717777033813,0,8.728804361652415,0.8515980339584249,0.737832858908544,5974,22,19.512842939025468,3.848239396652325,3.337443946188341,7.0,21.686,0.0,0.2685051829175451
2,160.27316967820212,58.035552951369425,0.4481254260395365,0.5112474437627812,0.0365371506475801,0,10.889877919325503,0.8691644063531355,0.6523677924591067,7335,28,18.00649250535391,3.923425199031797,3.7052023121387285,9.0,32.602,0.0,0.26167139450012955
3,-647.8844486778709,71.4257533707523,0.427806925498426,0.5410283315844701,0.026442812172088142,0,9.79010453414511,0.8871347334005034,0.6697655381371735,9530,30,18.250114482349236,3.9361209636463506,4.467500613195978,9.0,45.49,0.0,0.31651172505068204
4,5123.0145720721675,57.71955051543049,0.702675107208495,0.2646518276495814,0.029405758627731263,0,10.85449938714152,0.8656278050328112,0.863495561038227,4897,18,17.78964979052596,3.6722403678658058,3.2763731473408892,8.0,15.284,0.0,0.27080125799238275
5,4285.471673590981,55.08548195684022,0.6568785197103781,0.29666130329847146,0.04424778761061947,0,6.331792966855713,0.854786094960664,0.7977895274646127,4972,20,17.558604538562438,3.8020785774400876,3.312921004286589,8.0,16.76,0.0,0.2458112398951994
6,4395.878894870224,53.6374109726424,0.6690769885155253,0.29795831561037855,0.0289238621863037,0,6.30446641311321,0.8641048587292969,0.8223338489695232,4702,16,19.43081881436943,3.688350691790465,3.3998728544183088,8.0,15.857,0.0,0.291191162189825
7,-2567.6564484818236,46.99458758095575,0.35951702618369286,0.5947632614299281,0.04124270790937458,0,3.233300979118632,0.8601107157007138,0.6105085519188801,7371,21,16.846426299217686,3.896761877904375,4.95245283018868,10.0,37.447,0.0002712600027126,0.34948723064060516
8,2714.6604608093317,53.084701720456444,0.5662024141132777,0.3797585886722377,0.04865366759517177,0,4.870730254703311,0.8774034626852028,0.7364929238526349,5385,30,18.702445825282535,3.880247899342275,3.6949819612987866,8.0,21.133,0.0,0.17935573047378758
9,7048.1377850238805,72.76433467354258,0.7363294600136705,0.23239917976760083,0.02819548872180451,0,10.464240735143878,0.8777246862436417,0.9025177311968714,5852,25,18.924356563055127,3.7446921216612354,3.1840334184265493,8.0,17.143,0.0,0.23192837614420586
10,4062.8568508450244,54.72555887405865,0.6493298659731946,0.29065813162632526,0.056811362272454494,0,7.742485209320967,0.8793165101362589,0.7652243812653065,4999,23,18.634617545339307,3.7636730144065225,3.125385089340727,7.0,16.173,0.0,0.21960214156690783
11,1445.241769260745,61.888754466781045,0.498009062199643,0.45832761224770013,0.04050528628312509,0,9.016894960349376,0.8729926237419051,0.6682912753189274,7283,26,16.852879545205568,3.88963658434484,3.8839261097325615,8.0,31.255,0.0,0.2807737540146128
12,-861.3908854318112,63.816577790854396,0.4327405380756954,0.53077975376197,0.03169174646602827,0,8.691558038076597,0.8729203977204093,0.6100859640545704,8772,23,15.882014715800517,3.8879509292208176,4.287671232876712,9.0,40.867,0.00022794620469569182,0.3834447805357021
13,2778.854148410706,37.44029772911067,0.658096926713948,0.2925531914893617,0.04580378250591016,0,7.324515220657188,0.8973702825941976,0.7544649367334146,3384,17,15.988971398990916,3.5820389620607855,2.6964526268522677,6.0,10.297,0.0,0.20062174239132147
14,-2288.16328052122,73.25608486329396,0.39602574867058493,0.5724414590913331,0.02742793171004758,0,7.650299197913303,0.8625288957379065,0.6377646478911198,10719,28,17.555402811106774,3.9251329227305183,4.84640753828033,10.0,52.996,9.328358208955224e-05,0.3815300560320928
15,1504.5466843706613,58.87395562080169,0.5004360465116279,0.45058139534883723,0.04534883720930233,0,6.415171577372096,0.8726545051944424,0.6745229257766194,6880,25,18.70882588222451,3.8625245575580403,4.053732210281731,9.0,29.789,0.0,0.2672118294673258
16,1737.3348461984126,52.78893982906147,0.51775956284153,0.4369877049180328,0.041325136612021855,0,9.264549252695222,0.8885981687913638,0.6780306220594179,5856,20,18.489397159253855,3.8175499618161424,3.391490765171504,8.0,23.341,0.0,0.29178589969591623
17,1436.9148661460324,50.86400026005571,0.5196296931253215,0.4301388650780045,0.04697411280644608,0,5.476100648504816,0.8847461437575953,0.61893964151018,5833,30,16.795356031683596,3.8728584084923976,3.275486638073243,7.0,23.414,0.0,0.19373247054420165
18,-5776.735678577666,69.39866312859786,0.3331097509851597,0.6360358849668819,0.02540454431122663,0,6.912724519867317,0.8766164210665836,0.570599927572367,11927,31,18.697296104003385,3.920580570131962,5.05235338535112,10.0,62.416,8.383635144198524e-05,0.389770844860683
