update,policy_loss,value_loss,entropy_sum,entropy_mean,approx_KL,clip_fraction,grad_norm,explained_variance
0,-0.004146063177184432,0.995842196618288,30.533944258771452,2.224342654177172,0.0027512349815565513,0.02110553609913793,0.19360005389899015,1.3388567001615392e-05
1,-0.002629703222782059,6.604512068725007,33.59564285018032,2.3987880262956702,0.0008861756279406234,0.000244140625,1.894752711057663,0.012971354030004822
2,-0.003821296916184197,7.6811023260751226,39.37856029641236,2.8896522438675483,0.0016332885670949353,0.0058677936422413795,2.2655601501464844,-0.0009597810340915558
3,-0.004727322533998423,4.733458466812405,42.03261030925405,2.9765694244646324,0.0010998833870338597,0.001759496228448276,1.3506087213754654,-0.0002123915756175876
4,-0.003911151827533241,21.58170964176704,26.817539601843677,1.887791432282719,0.003121692076092586,0.03282428609913793,2.9350704848766327,0.0008822907469805408
5,-0.006010779268722288,12.100932599961002,30.396970232322428,2.183228328559098,0.0023741756198558442,0.022166285021551723,2.4731049090623856,0.0018959526857351694
6,-0.004088189406594478,12.324862888806294,25.569499572490116,1.782096495051268,0.004132606411264438,0.048828125,5.133994445204735,0.0008346900287771186
7,-0.007937605873786228,8.429454333946875,34.00795582699156,2.5644293149786694,0.006881603164746876,0.09242827316810345,8.53897774219513,-0.004550314487814067
8,-0.006646429726790051,9.473639864091695,41.97448276254702,2.9833011009132266,0.003157572889026126,0.03331256734913793,4.661351799964905,-0.0016439157135432758
9,-0.008162403661019235,40.261339671228924,33.431957760544755,2.3077439024095057,0.006263977468639997,0.09246194773706896,5.86369201540947,0.002139501563664159
10,-0.004558024705099032,8.48470182252326,33.224977815110265,2.387544877110611,0.004643058145904496,0.06263469827586207,3.5361951738595963,0.0030328848134909547
11,-0.012049811555650373,1.0779906725905486,36.79452789589313,2.667666791814805,0.009480664143760302,0.1328630118534483,1.0594794042408466,0.0009971970208683123
12,-0.0108151688570913,0.6836184354430641,33.87123030525279,2.4845805238412515,0.007588779308897411,0.11131970635775862,0.5075319278985262,0.002097729513447666
13,-0.0051350044012117985,6.229518368690674,25.970000360341707,1.9059964500388715,0.005103928323008184,0.05808021282327586,4.463640406727791,0.004468789937446704
14,-0.011563054881640977,1.8365596079458584,38.41639825128469,2.784333261808758,0.009083934215094156,0.13148235452586207,2.435790777206421,-0.004084115114393105
15,-0.011705953706462569,0.8519863877382547,35.99100949880186,2.6212677533100037,0.006596569520328997,0.09364055765086207,0.5673467665910721,0.0017224981683771068
16,-0.007769144084897821,0.9982989104589783,30.160864100189364,2.255947899349347,0.0032248382711510077,0.025862068965517238,1.3676859438419342,0.005095992319182452
17,-0.009204692122032274,5.538109644423809,40.39553692517802,2.874765602088983,0.012953707385569377,0.19615436422413793,5.06158784031868,0.00927816927459657
18,-0.004735807332995156,13.983360876558748,40.28159373231907,2.937628420750241,0.002657992630325868,0.02864863954741379,5.189114570617676,0.010277235344226976
19,-0.013001346679500075,1.0451850953344275,35.739890073329725,2.58390603041184,0.008520945914165952,0.13102774784482757,0.8081980012357235,0.006369912483451201
20,-0.007534324344269035,7.003251807121886,24.722495495134982,1.7714835422756832,0.0047978680206518945,0.058349609375,2.918215975165367,0.008031949413835004
21,-0.008064119086440488,1.409764120140339,26.73661768352733,2.006173708469101,0.00456586942038547,0.057583512931034475,1.7984787300229073,0.011063318282158452
22,-0.009190103003671256,4.535980916480316,27.162447901563077,1.9904803803977396,0.006194662389040378,0.08658573545258622,5.552406460046768,0.008230959255876025
23,-0.008671661964912942,0.89398519942062,28.685240684912124,2.1614217973120535,0.004210905077594236,0.04007273706896552,2.028736600652337,0.005029392966477753
24,-0.006903196521116242,2.3549366814717407,27.10617147370418,2.013039738230873,0.004241298499280298,0.04953529094827586,7.636010706424713,0.015146785794128426
25,-0.012794573821087521,1.5444006086491147,37.165377844422096,2.7051011468926123,0.010146746243067198,0.1468463766163793,5.538806892931461,0.023286881768939782
26,-0.012381705285975911,1.2285801128196572,38.45859540138265,2.7342698476869405,0.0067412839027759935,0.09400255926724138,1.872531071305275,0.02717567637794338
27,-0.010571259356424889,1.2019815989681386,36.321320270758186,2.642302505393986,0.005790517863151136,0.0814672009698276,2.311802890151739,0.014005804711359926
28,0.00015258313181072203,6.5712833515449836,21.767519960810173,1.6060274662329526,0.0030124199467285633,0.025845231681034482,17.65802800655365,0.02097410110284348
29,-0.0014841226636195478,11.023806313181442,29.198826516412424,2.2778882216722383,0.0124753840851742,0.15768958782327586,30.86633825302124,0.005047089167100727
30,-2.2751155966191025e-05,15.444135933125985,30.04556911156095,2.135069487986741,0.0043315531506307485,0.056421740301724144,34.18178594112396,-0.02210591760613112
31,-0.005179655123454503,1.873010915242849,35.96145293570991,2.5829660956073424,0.011766580223499253,0.15269733297413796,9.925371944904327,-0.050346798199204956
32,0.011579286118828934,13.333335915884305,27.11672032805529,1.9570144601356927,0.018671813859265092,0.2597572063577586,48.04262721538544,-0.03882647838535358
33,-0.007856088986101569,1.7680755179783672,37.98980804419563,2.6907688241696857,0.006873369994693725,0.0922093884698276,11.15434955060482,-0.000683285655908028
34,0.009827563932470515,5.072851772785348,32.79479525439393,2.3223741736287122,0.01815182178437806,0.24609375,27.850445687770844,-0.04522356463509247
35,0.011018610372643865,6.319606528309008,20.827988960551387,1.4552983361575351,0.02032464928172352,0.28549299568965514,36.04295702278614,-0.08211930929115296
36,-0.003376386846955014,1.4751603053358622,25.6501419659431,1.907321614265474,0.0038751681578136853,0.035459321120689655,23.111064679920673,0.09137188914357497
37,-0.0018765766326464864,1.8497685978830054,33.908120258590856,2.5011660727312996,0.00410233526882025,0.04849137931034483,15.968878574669361,-0.0833781338245021
38,-0.0008188395083922216,1.2468540635503622,35.06720445937766,2.537562350249761,0.011900962357497612,0.15047481142241378,10.064510717988014,-0.07202839300522923
39,-0.010395223180788143,0.7621258259296256,23.038056371131397,1.7633893490720798,0.008848958837163459,0.11548693426724138,5.304456524550915,-0.08410331546228633
