update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
0,3087.0679131945785,62.08214922463062,0.5650837559551253,0.4034117104656524,0.02735515598586138,0,13.276477433178663,0.86105799599314,0.7242093336776393,6507,20,17.715005084939897,3.84178885144066,3.2300788686429156,8.0,24.29,0.0
1,2848.7828675139017,66.34704422393568,0.5449640287769785,0.4135307138904261,0.037493082457111235,0,9.560497567553098,0.8520302513718158,0.7161439664427619,7228,22,19.512842939025468,3.854998923547254,3.782178217821782,8.0,29.363,0.0
2,-1751.0669615177642,64.36393329590908,0.40004331817197314,0.5695256660168941,0.025016244314489927,0,11.588238671863696,0.869029009205198,0.6229810511054357,9234,28,18.00649250535391,3.925391126228132,4.23632918245804,9.0,44.209,0.0
3,-1227.2868143911646,73.20645918518261,0.41373098478783027,0.5581465172137711,0.02411929543634908,0,9.908322002547656,0.8873993182724957,0.6618431313366699,9992,30,18.250114482349236,3.9344590687497507,4.580551523947751,9.0,48.686,0.0
4,4786.430399574859,64.40821043765044,0.6396699781107931,0.33355783801986866,0.024078127630914294,0,10.73197776479541,0.8662494550913711,0.8253105857678549,5939,18,17.78964979052596,3.7656388993873318,3.5838378520663334,9.0,21.068,0.0
5,3717.6320171095144,64.93236641322387,0.5834086118638964,0.3801565793435712,0.031466425775368866,0,7.232135904318966,0.855158188118103,0.7508870985843412,6642,20,17.558604538562438,3.8480220055409426,3.7380645161290325,8.0,25.807,0.0
6,4050.436999698597,56.75596788875063,0.6280556600225649,0.33978939450921397,0.028394133132756676,0,6.444924752343461,0.863668722872064,0.801153983745287,5318,16,19.43081881436943,3.7351098337100814,3.573053892215569,8.0,19.405,0.00018800526414739614
7,-1729.3220754335177,47.12999625688646,0.382158273381295,0.5682014388489208,0.04460431654676259,0,3.2939251153154454,0.8600676384463978,0.6121449222914547,6950,21,16.846426299217686,3.8935323421869747,4.821536144578313,9.0,34.285,0.0
8,-2296.6441170892604,67.90512503868186,0.3893823173193379,0.5802381913605168,0.025837706903512312,0,6.233015411216719,0.8773592304468061,0.6661609070155634,9908,30,18.702445825282535,3.9334066052231744,5.056765163297045,10.0,50.24,0.0
9,6377.322742103942,87.80789589719438,0.6309437605599807,0.34129857591117546,0.022688872797489743,0,11.237180780192467,0.8783634950239169,0.8227633099741037,8286,25,18.924356563055127,3.874466380088752,3.6277735271614384,9.0,30.205,0.0
10,3329.679043114509,70.97121918869935,0.5585148255051168,0.3970086591445815,0.041590133823143534,0,8.607983082790104,0.8791991967329447,0.7140344566641529,7622,23,18.634617545339307,3.8947945907946906,3.791872210476862,8.0,30.67,0.00013118194936376755
11,389.04487937795034,66.85943041582895,0.46049207475751125,0.49834397918145257,0.03856162763189023,0,9.26613470360919,0.8731600743690111,0.6523043207203861,8454,26,16.852879545205568,3.9255000613343514,4.084767531466735,9.0,38.081,0.0
12,711.1719114877569,60.04636257768222,0.4809322033898305,0.4713983050847458,0.04250529661016949,0,7.804060048030265,0.8732681811063396,0.6248866614833155,7552,23,15.882014715800517,3.919539730704751,3.8496696035242293,8.0,32.405,0.0
13,2995.316952012603,54.811524260750296,0.5861277797387928,0.3628662195552418,0.046946699611719024,0,8.054711121485063,0.8984416944631085,0.6977575306644938,5666,17,15.988971398990916,3.84200466229868,3.154170430593195,7.0,20.487,0.0
14,61.85483256766541,71.14737305149733,0.4487709375679791,0.5125081574940178,0.03426147487491842,0,7.194073854316045,0.8625578234669388,0.6595214866334285,9194,28,17.555402811106774,3.943513560525228,4.453708191953466,9.0,42.504,0.0001087547580206634
15,573.1663356192846,66.45826008577926,0.4651246837730394,0.4880134923503192,0.043488736296831705,0,6.69985524557849,0.8718953912198703,0.6562496139440657,8301,25,18.70882588222451,3.9304142669581497,4.339031339031339,9.0,37.515,0.00012045290291496025
16,1335.3212689063157,55.809072098928,0.494270435446906,0.45439266615737206,0.045683728036669216,0,9.05584846136825,0.8888684835381607,0.660944960857607,6545,20,18.489397159253855,3.9090807126279765,3.5316846986089643,8.0,26.947,0.00015276504735716468
17,-1144.3140100942937,71.82835747315514,0.4300860172034407,0.5284056811362272,0.03640728145629126,0,7.001800523196077,0.8849246884157295,0.58364228690014,9998,30,16.795356031683596,3.9504795590988393,4.257674418604651,9.0,46.928,0.0
18,-2790.26003871876,66.67644328830194,0.38465341639473943,0.5764857114604964,0.03421338870760408,0,6.3563115648542725,0.8762328446399699,0.5917901223195335,10113,31,18.697296104003385,3.949778452231267,4.455269922879177,9.0,49.042,0.0
19,1002.213800828491,68.58816136126282,0.4790959128703595,0.46773626888394426,0.04824920950931022,0,6.317477564733619,0.8716332583245465,0.652325495948256,8539,26,19.07862141010402,3.9258695836755204,4.187729161574187,9.0,37.907,0.0
20,3048.5837588483037,52.39710937326848,0.602345819144911,0.34525160802118804,0.04956488838441166,0,5.860274356665008,0.8730673365343479,0.6789457132107481,5286,16,17.736849977957775,3.76937650679304,3.0967336683417086,7.0,18.931,0.0
21,1704.8681413494535,52.59680319616368,0.5256646045811737,0.4123056345092794,0.057515465641197125,0,6.737715470381016,0.8684319006425492,0.6337807463463648,5981,18,17.016397906251534,3.85074590864732,3.2150127226463106,7.0,23.622,0.0
22,2895.933519000305,59.02165449713502,0.5630078062768838,0.3899952206468058,0.04237693165524932,0,6.533355220011986,0.8573821817080958,0.6923917458161244,6277,19,17.526696645635205,3.851788462058275,3.396434634974533,8.0,23.885,0.0
23,1356.7188740210556,55.15874954658096,0.4935779816513762,0.4484709480122324,0.05412844036697248,0,4.789502390464293,0.8592198993017373,0.6706957501172095,6540,20,16.864824558905447,3.8947967154964673,3.918525402726146,9.0,27.836,0.0
24,2469.7073579458415,56.880421090934036,0.5489465153970826,0.4027552674230146,0.043922204213938415,0,7.818914029264896,0.8648887185463026,0.6911565644132036,6170,19,15.070462690878696,3.8597039167224345,3.5323294951284323,8.0,24.311,0.0
25,659.1730044246267,78.8190439798311,0.46703296703296704,0.4909090909090909,0.03806193806193806,0,7.318267049596309,0.8487480520312252,0.6462191925772002,10010,30,17.93104018226611,3.9534268082668396,4.227807486631016,9.0,45.137,0.0
26,488.66379212015835,75.569235271804,0.4528887968523504,0.520501138952164,0.02112238558707807,0,7.3222935500406585,0.8572316438232993,0.7130048382761828,9658,29,17.201959734221067,3.9515148984234867,4.662322816643805,9.0,45.461,0.0
27,1701.7354732379324,85.19591583223652,0.48664252862315294,0.4818475388981309,0.0267149427536941,0,12.596730593527873,0.8604112633003322,0.6733127456942241,10219,31,19.079746347127532,3.9573078547610305,3.684496279911522,9.0,43.477,0.0
28,3917.008181088551,58.395656040321036,0.615674318507891,0.3394906743185079,0.04178622668579627,0,9.068242322468196,0.853886376446395,0.7814920009581316,5576,17,20.592303205036856,3.806225001289816,3.1089426157879405,8.0,19.223,0.0
29,-1261.6789780491106,47.49330913886588,0.4009827278141751,0.5582191780821918,0.03707564026206075,0,7.257038254490191,0.8589907139580644,0.5568419468094813,6716,20,16.423724014886982,3.927968975460426,3.4210917192721872,9.0,30.921,0.0
30,4918.214390916984,79.78719943595047,0.5981036662452591,0.3687737041719343,0.02895069532237674,0,12.887183795296053,0.8613403011612156,0.7569417326221644,7910,24,16.0672690823722,3.899416508148788,3.231029380680617,9.0,28.153,0.0
31,2879.279461213777,89.2488166577271,0.5163091389950044,0.44930943285336467,0.02967969438730532,0,10.503270081848026,0.8552578692018443,0.6729793600095271,10209,31,17.76099282466835,3.9535780764879345,3.6287232024283815,9.0,42.409,0.0
32,5579.690575531547,79.39964829420246,0.6183778099119233,0.3491520967529907,0.029578020244511633,0,10.649041352481996,0.8467370567257562,0.8220283219183293,7607,23,17.4127624529025,3.882111401332608,3.835671768707483,9.0,28.52,0.0
33,1578.6882564445891,87.17175161816077,0.4828436018957346,0.4890995260663507,0.023696682464454975,0,11.327951725005853,0.8640593285086227,0.6539690211753806,10550,32,19.3743872721152,3.9629062993665913,3.864350215940322,9.0,46.147,0.0
34,4809.1864051075945,89.60286858808634,0.5742820125242928,0.39300367091340965,0.029259339235586268,0,11.230374888851255,0.8616580484898795,0.7217491809737249,9262,28,17.74564737503072,3.9373479993521845,3.369806354577928,8.0,34.763,0.0
35,6698.70227513155,75.73735717021152,0.6922492401215805,0.2723404255319149,0.03100303951367781,0,9.691330694376873,0.8570664490885224,0.8695019449501856,6580,20,17.228493217957258,3.804160503309876,3.558726673984632,8.0,21.666,0.0
36,3840.485928281718,68.22294663766534,0.5802273708447259,0.37616923298316307,0.03928622823427831,0,8.14313005079015,0.8549724942057689,0.7342102095679901,6949,21,17.34670271922772,3.9289914622743503,3.6820436507936507,8.0,26.736,0.0
