update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,163896.4,1,303,23,3.973
9,0,1,22.27,5361.9,0,294,31,3.977
9,0,2,20.19,2498263.4,314,4,0,3.981
9,0,3,15.08,2502614.0,317,1,0,3.981
9,0,4,12.66,62895.8,0,287,36,3.97
9,0,5,12.32,2588477.0,330,4,0,3.978
9,0,6,23.59,40260.9,0,306,37,3.969
9,0,7,29.41,2458313.0,308,1,0,3.976
9,0,8,26.89,616648.2,36,243,58,3.976
9,0,9,11.95,2552048.9,314,31,0,3.985
9,0,10,25.73,28044.8,0,280,45,3.973
9,0,11,9.19,2379157.9,314,14,0,3.971
9,0,12,11.11,2536563.8,317,3,0,3.984
9,0,13,15.51,490896.0,27,237,49,3.976
9,0,14,23.28,2602631.0,322,4,0,3.972
9,0,15,21.85,2508490.9,303,22,0,3.984
9,0,16,21.6,682.9,0,286,41,3.972
9,0,17,23.82,1980689.1,237,80,3,3.985
9,0,18,27.48,2177255.8,271,42,0,3.981
9,0,19,5.6,16566.8,0,316,20,3.976
9,0,20,13.77,2448633.0,310,1,0,3.975
9,0,21,17.56,2331795.8,296,32,0,3.986
9,0,22,22.78,48588.6,0,292,43,3.981
9,0,23,12.17,48393.2,0,310,17,3.977
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,137394.5,2,310,28,3.998
9,1,1,17.29,2381212.4,309,10,0,4.0
9,1,2,19.04,762993.1,62,248,13,3.998
9,1,3,16.81,2578580.0,319,1,0,4.0
9,1,4,25.54,5842.0,0,297,35,3.994
9,1,5,18.36,2582726.8,321,13,0,3.997
9,1,6,8.63,1804843.1,214,101,0,3.999
9,1,7,5.33,2423893.5,299,32,2,3.996
9,1,8,8.28,2707440.7,336,12,0,3.997
9,1,9,16.95,193334.0,7,319,18,3.999
9,1,10,5.22,2622067.0,334,3,0,4.0
9,1,11,27.19,2464798.5,303,21,0,4.0
9,1,12,16.04,4722.8,0,285,27,3.996
9,1,13,25.94,2320536.4,282,67,0,3.997
9,1,14,7.56,2591605.6,330,14,0,4.0
9,1,15,10.93,1834873.7,224,122,2,3.999
9,1,16,21.21,2433575.5,302,12,0,3.999
9,1,17,10.16,2550849.2,310,8,0,3.999
9,1,18,13.45,1560776.6,184,152,5,3.998
9,1,19,28.59,668750.2,48,247,34,3.999
9,1,20,28.46,2476130.1,312,7,0,3.999
9,1,21,7.19,1686101.5,192,153,3,3.997
9,1,22,21.02,2519631.3,307,30,0,3.999
9,1,23,22.73,1059884.9,103,220,17,3.999
9,1,24,27.19,15225.8,0,297,28,3.993
9,1,25,13.95,453847.4,22,281,18,3.997
9,1,26,20.95,2603586.3,320,9,0,3.999
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,1253.7,0,321,12,4.0
9,2,1,7.77,2090262.4,251,79,2,4.0
9,2,2,20.56,229053.2,17,287,27,3.999
9,2,3,13.62,2359566.5,288,47,2,4.0
9,2,4,16.07,2487657.9,318,16,0,4.0
9,2,5,14.57,809.5,0,336,10,4.0
9,2,6,13.01,2676244.0,330,0,0,3.996
9,2,7,22.07,1884761.6,229,110,0,3.999
9,2,8,12.5,1388669.0,149,168,6,4.0
9,2,9,25.95,331524.2,20,292,28,4.0
9,2,10,28.65,2007593.7,240,72,0,4.0
9,2,11,13.51,190990.9,10,328,21,4.0
9,2,12,8.75,2740032.0,347,5,0,4.0
9,2,13,16.81,1998724.5,241,68,0,3.999
9,2,14,15.53,1996481.3,251,84,0,3.999
9,2,15,24.33,1791758.0,212,100,1,3.999
9,2,16,27.2,2618942.4,332,10,0,4.0
9,2,17,22.13,2274649.1,290,35,0,4.0
9,2,18,7.17,2521474.3,316,11,0,4.0
9,2,19,25.2,1994911.7,245,109,0,4.0
9,2,20,14.13,15337.8,0,313,13,3.997
9,2,21,13.24,1844214.6,207,121,3,3.999
9,2,22,17.91,2719726.0,337,1,0,4.0
9,2,23,17.9,2470597.0,310,13,0,4.0
9,2,24,22.87,816385.8,69,233,16,4.0
9,2,25,14.85,8220.5,0,360,14,4.0
9,2,26,13.33,1597730.2,177,153,7,4.0
9,2,27,21.36,2345708.9,297,11,0,4.0
9,2,28,11.89,1143886.4,112,214,15,4.0
9,2,29,27.14,2261602.5,272,59,0,4.0
9,2,30,26.39,0.0,0,0,0,0.0
9,2,31,12.54,0.0,0,0,0,0.0
19,0,0,6.65,156246.1,4,307,16,3.82
19,0,1,22.27,5761.4,0,304,20,3.816
19,0,2,20.19,2498923.3,314,4,0,3.732
19,0,3,15.08,2512615.0,318,0,0,3.813
19,0,4,12.66,64061.0,1,299,22,3.764
19,0,5,12.32,2600376.0,332,2,0,3.781
19,0,6,23.59,47030.2,0,328,15,3.772
19,0,7,29.41,2450509.0,307,2,0,3.745
19,0,8,26.89,697282.6,55,245,37,3.798
19,0,9,11.95,2585383.1,318,26,1,3.791
19,0,10,25.73,23350.3,0,308,17,3.82
19,0,11,9.19,2408298.5,316,12,0,3.761
19,0,12,11.11,2507650.3,313,7,0,3.788
19,0,13,15.51,617020.2,43,243,27,3.79
19,0,14,23.28,2601029.0,322,5,0,3.778
19,0,15,21.85,2528962.3,307,18,0,3.795
19,0,16,21.6,646.8,0,304,23,3.787
19,0,17,23.82,2055557.0,251,67,2,3.816
19,0,18,27.48,2158210.9,268,45,0,3.804
19,0,19,5.6,14288.6,0,326,10,3.828
19,0,20,13.77,2456065.0,311,0,0,3.822
19,0,21,17.56,2309838.6,294,34,0,3.788
19,0,22,22.78,46496.2,0,310,25,3.793
19,0,23,12.17,40374.0,0,318,9,3.823
19,0,24,22.8,0.0,0,0,0,0.0
19,0,25,12.77,0.0,0,0,0,0.0
19,0,26,10.24,0.0,0,0,0,0.0
